Date ,Payment to ,Received,Expense,Balance
,,,,
24/12/2025,Adv shilpa reel boost ,,250,-762
02/01/2026,Malgudi tea ,,60,-822
02/01/2026,AC EMI,,3050,-3872
02/01/2026,Malgudi tea ,,75,-3947
05/01/2026,Malgudi tea ,,60,-4007
06/01/2026,Malgudi tea ,,60,-4067
07/01/2026,Malgudi tea ,,75,-4142
09/01/2026,Phone Reacharge ,,299,-4441
10/01/2026,Office Mavshi Payment ,,1000,-5441
10/01/2026,Indeed ,,1310,-6751
12/01/2026,Codigix Ads Account ,,170,-6921
12/01/2026,Malgudi tea ,,75,-6996
13/01/2026,Malgudi tea ,,75,-7071
14/01/2026,,20000,,12929
21/01/2026,Pix Hub ,,249,12680
22/01/2026,Zencoder ,,4682,7998
23/01/2026,Codigix add account ,,500,7498
24/01/2026,Pawna Trip ,,9070,-1572
27/01/2026,,800,,-772
31/01/2026,Zencoder Payment ,,4598,-5370
02/02/2026,Pending payment Tv EMI,1500,,-3870
02/02/2026,AC EMI,,3042,-6912
02/02/2026,Ekdant reel boost ,,180,-7092
03/02/2026,Payment Recevied ,9000,,1908
05/02/2026,office mavshi payment ,,1000,908
06/02/2026,Office phone recharge ,,299,609
07/02/2026,Nitin Sir Recharge ,,219,390
12/02/2026,Naukri Subscription,,472,-82
14/02/2026,Naukri Subscription,,472,-554
14/02/2026,Valentine Choclates ,,384,-938
19/02/2026,Sanskruti Agro design,,250,-1188
20/02/2026,Fan Pipe + screw,,201,-1389
24/02/2026,pix hub renewl ,,249,-1638
26/02/2026,Dinesh Cake ,,380,-2018
27/02/2026,Codigix Ads Acc,,500,-2518
28/02/2026,Office Keys + Parcel ,,636,-3154
28/02/2026,TV Emi Abhi ,1500,,-1654
28/02/2026,Celling payment ,,3900,-5554
28/02/2026,Cash recevied ,21500,,15946
28/02/2026,Tree for Ruchita Maam ,,308,15638
28/02/2026,Job Postings ,,1888,13750
03/03/2026,AC EMI,,3542,10208
03/03/2026,Zencoder Payment ,,4668,5540
03/03/2026,Advance AC EMI,,3042,2498
04/03/2026,Office Tea Coffe ,,1520,978
05/03/2026,Office mavshi payment ,,1500,-522
05/03/2026,Refund of  AC EMI ,3042,,2520
06/03/2026,Office phone recharge ,,299,2221
06/03/2026,Job Postings ,,472,1749
06/03/2026,Womens Day chocklate ,,282,1467
06/03/2026,Womens Day Roses  ,,100,1367
09/03/2026,Adv shilpa add boost ,,248,1119
10/03/2026,Filming porter ,,122,997
10/03/2026,Nitin Sir Recharge ,,219,778
16/03/2026,Dr prasad Add,,100,678
17/03/2026,Naukri post ,,944,-266
18/03/2026,Kitchen Canvas boost ,,110,-376
23/03/2026,Payment Recevied ,20000,,19624
25/03/2026,Zencoder Payment (Lastmonth ),,"4,947",14677
27/03/2026,Naukri Subscription,,1416,13261
28/03/2026,Launch,,336,12925
28/03/2026,Meta ads ,,200,12725
30/03/2026,meta ads ,,200,12525
31/03/2026,Office Tea Coffe (Feb & March),,6000,6525
01/04/2026,Shilpa Ads Boost ,,250,6275
01/04/2026,Rajesh Sir Post ,,100,6175
02/04/2026,AC EMI,,3045,3130
02/04/2026,Shilpa Ads Boost ,,235,2895
02/04/2026,pix hub renewl ,,249,2646
03/04/2026,Office phone recharge ,,299,2347
03/04/2026,Office mavshi payment ,,1500,847
04/03/2026,TV Emi Abhi ,1500,,2347
04/04/2026,Shilpa Ads Boost ,,225,2122
05/04/2026,zencoder Subscription,,4738,-2616
06/04/2026,Payment Recevied ,10000,,7384
08/04/2026,Aura CNG,,720,6664
10/04/2026,Office Tea ,,56,6608
11/04/2026,Naukri Subscripton ,,1416,5192
11/04/2026,Adv shilpa add boost ,,220,4972
12/04/2026,zencoder Subscription,,4734,238
13/04/2026,Headphoes ,,172,66
14/04/2026,Youtube Ads ,,500,-434
21/04/2026,Youtube Ads refund,500,,66
21/04/2026,sheetals boost ,,100,-34
22/04/2026,Kitchen Canvas boost ,,167,-201
24/04/2026,Naukri,,472,-673
27/04/2026,,,199,-872
28/04/2026,Ads Boost Corplegal & Kitchen,,450,-1322
28/04/2026,Moraya reel boost ,,240,-1562
30/04/2026,Bakul Ads Boost & sheetal,,320,-1882
30/04/2026,Funds Added ,10000,,8118
02/05/2026,Ac Emi ,,3042,5076
02/05/2026,Shilpa Ads boost ,,270,4806
02/05/2026,Office phone recharge ,,299,4507
04/05/2026,Indeed,,6435,-1928
04/05/2026,Funds Added ,20000,,18072
04/05/2026,Office Laptop,,16000,2072
07/05/2026,Glow Boost ,,230,1842
09/05/2026,Pix Hub ,,349,1493
13/05/2026,Kitchen Canvas Boost ,,230,1263
14/05/2026,zencoder subscription ,,4976,-3713
14/05/2026,Office mavshi payment ,,1500,-5213
14/05/2026,Office curtens advance ,,1000,-6213
14/05/2026,Mac cable & connector ,,800,-7013
15/05/2026,Naukri ,,475,-7488
16/05/2026,Office curtens advance ,,2000,-9488
18/05/2026,Adkrite sankruti ,,4999,-14487
18/05/2026,Headphones ,,170,-14657
19/05/2026,Snacks ,,264,-14921
23/05/206,Payment to selina Maam ,,118,-15039
25/05/2026,"Ads boost (adv.sheetal,bakul,kitchen)",,1000,-16039
27/05/2026,Adv Shilpa Ads boost ,,250,-16289
30/05/2026,Adv Shilpa & kitchen Ads boost ,,500,-16789
30/05/2026,Funds Added ,,10900,-5889
30/05/2026,Office phone recharge ,,299,-6188
02/06/2026,AC Emi ,,3050,-9238
02/06/2026,Bakul shoot Payment  ,,3000,-12238
04/06/2026,Indeed ,,5683,-17921
04/06/2026,Moraya reel boost ,,230,-18151
04/06/2026,Office mavshi payment ,,1500,-19651
04/06/2026,Funds Added ,30000,,10349
09/06/2026,Pix Hub ,,350,9999
09/06/2026,Cake ,,330,9669
13/06/2026,Moaraya reel ,,100,9569
13/06/2026,Office launch ,,5850,3719
14/06/2026,zencoder subscription ,,4500,-781
15/06/2026,Ads Shilpa and Moraya ,,500,-1281
16/06/2026,Ads Dr Rajiv ,,220,-1501
18/06/2026,Moaraya reel ,,200,-1701
19/06/2026,Sheetal glow ads ,,100+60,-1861
20/06/2026,Moraya reel boost ,,100,-1961
22/06/2026,Moraya reel boost ,,500,-2461
22/06/2026,Funds Added ,10000,,7539
25/06/2026,Saarvv,,250,7289
26/06/2026,Adv shilpa ,,250,7039
27/06/2026,Dr rajiv ,,200,6839
27/06/2026,Office phone recharge ,,299,6540
29/06/2026,Others,,370,6170
29/06/2026,Adv ads ,,250,5920
30/06/2026,Water ,,60,5860
02/07/2026,Water ,,120,5740
02/07/2026,AC Emi ,,3050,2690
02/07/2026,Sarrvv reel ,,200,2490
08/07/2026,Flow Subscription,,1500,990
09/07/2026,Disposibels ,,300,690
10/07/2026,Cake ,,1275,-585
10/07/2026,Pix Hub ,,350,-935
10/07/2026,Certificates ,,150,-1085
10/07/2026,Office mavshi payment ,,1500,-2585
10/07/2026,Games Material ,,950,-3535
11/07/2026,Anniversary materisl ,,830,-4365
11/07/2026,Funds Added ,5000,,635
16/07/2026,Bakul ,,250,385
